codigo,localidad,url_xml
id41101,"Villaverde del Río",http://www.aemet.es/xml/municipios/localidad_41101.xml
id50221,Purujosa,http://www.aemet.es/xml/municipios/localidad_50221.xml
id09001,Abajas,http://www.aemet.es/xml/municipios/localidad_09001.xml
id50005,"Aguilón",http://www.aemet.es/xml/municipios/localidad_50005.xml
id24171,Trabadelo,http://www.aemet.es/xml/municipios/localidad_24171.xml
id30003,"Águilas",http://www.aemet.es/xml/municipios/localidad_30003.xml
id47160,"Siete Iglesias de Trabancos",http://www.aemet.es/xml/municipios/localidad_47160.xml
id08268,Cercs,http://www.aemet.es/xml/municipios/localidad_08268.xml
id09472,Villazopeque,http://www.aemet.es/xml/municipios/localidad_09472.xml
id42003,Adradas,http://www.aemet.es/xml/municipios/localidad_42003.xml
id10006,Ahigal,http://www.aemet.es/xml/municipios/localidad_10006.xml
id10156,"Robledillo de Gata",http://www.aemet.es/xml/municipios/localidad_10156.xml
id47002,Aguasal,http://www.aemet.es/xml/municipios/localidad_47002.xml
id45001,"Ajofrín",http://www.aemet.es/xml/municipios/localidad_45001.xml
id50003,"Agón",http://www.aemet.es/xml/municipios/localidad_50003.xml
id24168,"Toral de los Guzmanes",http://www.aemet.es/xml/municipios/localidad_24168.xml
id44157,"Monterde de Albarracín",http://www.aemet.es/xml/municipios/localidad_44157.xml
id25003,Agramunt,http://www.aemet.es/xml/municipios/localidad_25003.xml
id22006,Aisa,http://www.aemet.es/xml/municipios/localidad_22006.xml
id06003,Ahillones,http://www.aemet.es/xml/municipios/localidad_06003.xml
id07002,Alaior,http://www.aemet.es/xml/municipios/localidad_07002.xml
id43078,Masdenverge,http://www.aemet.es/xml/municipios/localidad_43078.xml
id02002,Alatoz,http://www.aemet.es/xml/municipios/localidad_02002.xml
id25069,"Castelló de Farfanya",http://www.aemet.es/xml/municipios/localidad_25069.xml
id38003,"Alajeró",http://www.aemet.es/xml/municipios/localidad_38003.xml
id24198,"Vega de Valcarce",http://www.aemet.es/xml/municipios/localidad_24198.xml
id16003,"Alarcón",http://www.aemet.es/xml/municipios/localidad_16003.xml
id44006,"Alacón",http://www.aemet.es/xml/municipios/localidad_44006.xml
id10903,"Alagón del Río",http://www.aemet.es/xml/municipios/localidad_10903.xml
id16121,"Majadas, Las",http://www.aemet.es/xml/municipios/localidad_16121.xml
